epoch,auc,bin_acc,learning_rate,loss,precision,recall,val_auc,val_bin_acc,val_loss,val_precision,val_recall
0,0.5123001933097839,0.5107141733169556,9.999999747378752e-05,0.4592624306678772,0.22858528792858124,0.5029364824295044,0.5102548003196716,0.3400000035762787,0.3801402449607849,0.25200000405311584,0.8513513803482056
1,0.49895843863487244,0.4933333098888397,9.999999747378752e-05,0.4111756682395935,0.2199764996767044,0.4997330605983734,0.5124348998069763,0.3400000035762787,0.37962421774864197,0.25200000405311584,0.8513513803482056
2,0.5114108920097351,0.5172619819641113,9.999999747378752e-05,0.3936488926410675,0.2314130961894989,0.5018686652183533,0.5329443216323853,0.4300000071525574,0.3796597123146057,0.2583056390285492,0.7004504799842834
3,0.5076493620872498,0.4963095486164093,9.999999747378752e-05,0.3857332170009613,0.22543083131313324,0.5168179273605347,0.530339777469635,0.46388891339302063,0.37921378016471863,0.24435721337795258,0.5608108043670654
4,0.5091775059700012,0.5096428990364075,9.999999747378752e-05,0.3813134729862213,0.22475489974021912,0.4895888864994049,0.5219660997390747,0.2844444811344147,0.37817084789276123,0.2514723241329193,0.9617117047309875
5,0.5117549300193787,0.5100001096725464,9.999999747378752e-05,0.3789297342300415,0.22246968746185303,0.47997865080833435,0.5041239261627197,0.3733333349227905,0.3779921233654022,0.26249998807907104,0.8513513803482056
6,0.4977583587169647,0.5080952048301697,9.999999747378752e-05,0.37939757108688354,0.22644707560539246,0.49919915199279785,0.5263928771018982,0.3700000047683716,0.37761586904525757,0.2604166567325592,0.8445945978164673
7,0.5109279751777649,0.5194047689437866,9.999999747378752e-05,0.3749774694442749,0.22882205247879028,0.48745328187942505,0.5305179357528687,0.37833335995674133,0.3769948184490204,0.2624911963939667,0.8400900959968567
8,0.504464864730835,0.49011918902397156,9.999999747378752e-05,0.37405359745025635,0.22235022485256195,0.5152162313461304,0.5071898102760315,0.4549999535083771,0.3770584166049957,0.25389552116394043,0.6238738894462585
9,0.5018196702003479,0.4977380931377411,9.999999747378752e-05,0.37383705377578735,0.2289741188287735,0.5290976762771606,0.5125322937965393,0.5138888955116272,0.37659087777137756,0.25539159774780273,0.5067567825317383
10,0.512638509273529,0.5014286637306213,9.999999747378752e-05,0.370816707611084,0.22936637699604034,0.5237586498260498,0.5305087566375732,0.5083332657814026,0.37595587968826294,0.23905324935913086,0.45495495200157166
11,0.5080531239509583,0.5,9.999999747378752e-05,0.3702808916568756,0.22396203875541687,0.5040042996406555,0.5085880756378174,0.491111159324646,0.375607967376709,0.24623656272888184,0.5157657861709595
12,0.5180695056915283,0.5073809623718262,9.999999747378752e-05,0.36838269233703613,0.23003575205802917,0.5152162313461304,0.5122225880622864,0.5711110830307007,0.37536928057670593,0.2581121027469635,0.3941441476345062
13,0.5108364820480347,0.5003571510314941,9.999999747378752e-05,0.36846619844436646,0.22645950317382812,0.5136145353317261,0.5341883301734924,0.4344444274902344,0.373957097530365,0.25553661584854126,0.6756756901741028
14,0.5226036906242371,0.5121428370475769,9.999999747378752e-05,0.36625736951828003,0.23160433769226074,0.512546718120575,0.5324093699455261,0.4883333444595337,0.37332984805107117,0.26594701409339905,0.6103603839874268
15,0.5095685124397278,0.5101190805435181,9.999999747378752e-05,0.3668278753757477,0.2272506058216095,0.4986652433872223,0.5343666672706604,0.4877777695655823,0.37312862277030945,0.24465811252593994,0.5157657861709595
16,0.5131773948669434,0.508571445941925,9.999999747378752e-05,0.36557748913764954,0.22929172217845917,0.5098772048950195,0.5168425440788269,0.5177778005599976,0.3726594150066376,0.24519230425357819,0.45945945382118225
17,0.5036370158195496,0.4967857599258423,9.999999747378752e-05,0.36545634269714355,0.22292843461036682,0.5056059956550598,0.5408361554145813,0.4555555582046509,0.3715948164463043,0.2619893550872803,0.6644144058227539
18,0.5067254900932312,0.5021429061889648,9.999999747378752e-05,0.3646959662437439,0.22557641565799713,0.5066738128662109,0.539951741695404,0.46833333373069763,0.3709295988082886,0.27077749371528625,0.6824324131011963
19,0.5170745849609375,0.49392858147621155,9.999999747378752e-05,0.362848699092865,0.23026315867900848,0.5419113636016846,0.5207018256187439,0.5211111307144165,0.3703356385231018,0.2786017060279846,0.5923423171043396
20,0.522693395614624,0.5091665983200073,9.999999747378752e-05,0.3615940809249878,0.2331593930721283,0.5248264670372009,0.49150002002716064,0.4938889145851135,0.3701289892196655,0.2529100477695465,0.5382882952690125
21,0.5291197299957275,0.501071572303772,9.999999747378752e-05,0.3604581654071808,0.23502515256404877,0.5488520860671997,0.5105870962142944,0.46666666865348816,0.36903926730155945,0.2611111104488373,0.6351351141929626
22,0.5159794092178345,0.5149999856948853,9.999999747378752e-05,0.36071839928627014,0.23347057402133942,0.5146823525428772,0.5263499617576599,0.4794444739818573,0.36833304166793823,0.24665981531143188,0.5405405163764954
23,0.5287941694259644,0.5133333206176758,9.999999747378752e-05,0.3588055372238159,0.23687337338924408,0.532301127910614,0.5122566223144531,0.5505555272102356,0.36780986189842224,0.2589167654514313,0.44144144654273987
24,0.511199414730072,0.5191666483879089,9.999999747378752e-05,0.3594352602958679,0.22734138369560242,0.4821142554283142,0.5168026089668274,0.5361111164093018,0.36693060398101807,0.260122686624527,0.477477490901947
25,0.5193745493888855,0.5149999856948853,9.999999747378752e-05,0.3583597242832184,0.2305997610092163,0.5029364824295044,0.5212342739105225,0.5627777576446533,0.3658759295940399,0.2697986662387848,0.45270270109176636
26,0.5114230513572693,0.5224999785423279,9.999999747378752e-05,0.3575066328048706,0.22868020832538605,0.4810464382171631,0.5258544087409973,0.5711111426353455,0.36516255140304565,0.281333327293396,0.4752252399921417
27,0.5187835097312927,0.5110714435577393,9.999999747378752e-05,0.3560605049133301,0.22993230819702148,0.5077415704727173,0.5321728587150574,0.5205555558204651,0.3642682135105133,0.260022908449173,0.5112612843513489
28,0.5062534213066101,0.5052380561828613,9.999999747378752e-05,0.35617944598197937,0.22540293633937836,0.500266969203949,0.5126143097877502,0.5394444465637207,0.3636113107204437,0.26263871788978577,0.4797297418117523
29,0.5177157521247864,0.5084524750709534,9.999999747378752e-05,0.35413530468940735,0.22845450043678284,0.5066738128662109,0.5314658284187317,0.537777841091156,0.36270618438720703,0.2599009871482849,0.47297295928001404
30,0.5178617835044861,0.5103572010993958,9.999999747378752e-05,0.3535972237586975,0.23128598928451538,0.5146823525428772,0.49803924560546875,0.5638889670372009,0.3620423972606659,0.25952044129371643,0.4144144058227539
31,0.5036136507987976,0.4997619092464447,9.999999747378752e-05,0.3533000349998474,0.22593551874160767,0.512546718120575,0.5082588791847229,0.5627778172492981,0.3611146807670593,0.2539454698562622,0.3986486494541168
