epoch,auc,bin_acc,learning_rate,loss,prec,rec,val_auc,val_bin_acc,val_loss,val_prec,val_rec
0,0.516374409198761,0.5176190733909607,4.999999873689376e-05,0.43375980854034424,0.23052188754081726,0.49759742617607117,0.5269821882247925,0.4427778124809265,0.36316242814064026,0.22189055383205414,0.5022522807121277
1,0.5026742815971375,0.5030952095985413,4.999999873689376e-05,0.39283517003059387,0.22243666648864746,0.4922583997249603,0.5052136182785034,0.45722225308418274,0.3606223165988922,0.22268469631671906,0.4819819927215576
2,0.5093943476676941,0.5139287114143372,4.999999873689376e-05,0.37554675340652466,0.22876779735088348,0.49759742617607117,0.5049303770065308,0.5583333373069763,0.3605002164840698,0.232876718044281,0.3445945978164673
3,0.49700284004211426,0.49523812532424927,4.999999873689376e-05,0.3714664578437805,0.22093845903873444,0.500266969203949,0.5099117159843445,0.46444442868232727,0.3586541712284088,0.2319587618112564,0.5067567825317383
4,0.5074993968009949,0.5039286017417908,4.999999873689376e-05,0.3612673580646515,0.22703474760055542,0.5093433260917664,0.5006065964698792,0.4077778160572052,0.3576621413230896,0.2408333271741867,0.6509009003639221
5,0.5043463110923767,0.49595239758491516,4.999999873689376e-05,0.3591611087322235,0.22321219742298126,0.5082755088806152,0.5051407217979431,0.4416666626930237,0.356995552778244,0.2376052439212799,0.5720720887184143
6,0.5003350973129272,0.5022619366645813,4.999999873689376e-05,0.35722264647483826,0.2262808382511139,0.5093433260917664,0.5015175938606262,0.481666624546051,0.3558137118816376,0.2327868789434433,0.4797297418117523
7,0.492701917886734,0.49142858386039734,4.999999873689376e-05,0.35531651973724365,0.21676504611968994,0.49012279510498047,0.5114899277687073,0.41555559635162354,0.3552338480949402,0.24666666984558105,0.6666666865348816
8,0.4877948462963104,0.48059532046318054,4.999999873689376e-05,0.35471025109291077,0.21418732404708862,0.49813133478164673,0.5064502358436584,0.41555559635162354,0.3543306887149811,0.24666666984558105,0.6666666865348816
9,0.496077299118042,0.48416656255722046,4.999999873689376e-05,0.35214075446128845,0.21737132966518402,0.5050720572471619,0.4800027310848236,0.4077778160572052,0.35325324535369873,0.2408333271741867,0.6509009003639221
10,0.512937068939209,0.4944048225879669,4.999999873689376e-05,0.34890443086624146,0.22936616837978363,0.5371062755584717,0.4884625971317291,0.4077778160572052,0.3526615798473358,0.2408333271741867,0.6509009003639221
11,0.516939640045166,0.5055952072143555,4.999999873689376e-05,0.346292644739151,0.230368971824646,0.520021378993988,0.4942786693572998,0.3588889241218567,0.35187938809394836,0.25140056014060974,0.8085585832595825
12,0.5034425258636475,0.4959523677825928,4.999999873689376e-05,0.34700560569763184,0.22308233380317688,0.5077415704727173,0.49331578612327576,0.37388885021209717,0.35123780369758606,0.24647364020347595,0.7477477192878723
13,0.5073456764221191,0.5011906027793884,4.999999873689376e-05,0.3454890847206116,0.22631703317165375,0.5114789009094238,0.4985193908214569,0.41777780652046204,0.35088297724723816,0.24749164283275604,0.6666666865348816
14,0.5076408982276917,0.5142859220504761,4.999999873689376e-05,0.3448732793331146,0.23026154935359955,0.5029364824295044,0.5074383020401001,0.6177778244018555,0.35035181045532227,0.2973421812057495,0.4031531512737274
15,0.4790058135986328,0.48726192116737366,4.999999873689376e-05,0.34614941477775574,0.21106362342834473,0.4746396243572235,0.5076608657836914,0.6122222542762756,0.3497140407562256,0.2924836575984955,0.4031531512737274
16,0.5104153156280518,0.4924999177455902,4.999999873689376e-05,0.34255701303482056,0.22704431414604187,0.5306994318962097,0.5001035332679749,0.34111109375953674,0.3487849533557892,0.2533244788646698,0.8581081032752991
17,0.5016509890556335,0.49023813009262085,4.999999873689376e-05,0.34269386529922485,0.2259385734796524,0.5301654934883118,0.5041714310646057,0.43388885259628296,0.34839755296707153,0.2598161995410919,0.7004504799842834
